club_id,club_name
8588,Caravaca CF (- 2012)
10693,FK Baku
1784,Mogi Mirim Esporte Clube (SP)
3535,Ulsan Hyundai
11000,CD Lugo
13222,CD Mirandés
116,FC Aarau
34148,UCAM Murcia CF
10330,SL Benfica B
152,Samsunspor
11516,Levante UD B
2439,Kuban Krasnodar (-2018)
3176,Beijing Guoan
1106,Club de Gimnasia y Esgrima La Plata
33600,Huracán Valencia CF
9875,Club Libertad Asunción
1076,Esteghlal FC
2323,Orduspor
18720,Rangers de Talca
12181,San Fernando CD
2433,CSD Colo Colo
15817,Johor Darul Ta'zim
8841,Xäzär Länkäran
1056,Örebro SK
7178,Criciúma Esporte Clube
2725,CD Ourense (- 2014)
734,União São João Esporte Clube (SP)
3393,Doxa Katokopias
15509,Celta de Vigo U19
31614,Ludogorets Razgrad
3793,Beitar Jerusalem
2125,Esporte Clube Vitória
1411,RAEC Mons
4835,New York Cosmos
6603,Wydad Casablanca
11698,San Francisco FC
88,Widzew Lodz
20960,CD Plaza Amador
1070,Club Atlético Colón
128,Skoda Xanthi
5220,GS Ergotelis
3829,CA Fénix
28956,AEL Kalloni
1214,Club Cerro Porteño
4774,Chiapas FC
9465,Petrolul Ploiesti
10233,Atlético de Rafaela
163,FC Vaduz
10511,Club Atlético San Martín (SJ)
6984,Once Caldas
9961,Deportivo Cali
4321,Unión Española
2646,Clube Náutico Capibaribe
9477,CE L’Hospitalet
25449,Buriram United
12317,Elche Ilicitano
13353,Club Tijuana
34559,La Hoya Lorca CF
3708,Barakaldo CF
19114,Sassuolo Primavera
6144,GD Ribeirão
13240,Sestao River
4630,Al-Sailiya SC
21283,SCG Muangthong United
2929,CD Toledo
26132,UE Llagostera
524,Gaziantepspor
13231,Haro Deportivo
16122,Arenas Club
26007,Olímpic Xàtiva
16575,SD Amorebieta
24434,CD Lagun Onak
45276,NorthEast United FC
13499,Astra Giurgiu
2079,PAE Veria
17425,CD La Equidad Seguros SA
2293,Konyaspor
45278,Atlético de Kolkata
10959,Udinese Primavera
44289,Dibba Al-Fujairah
33966,CSMS Iași
16083,Grêmio Osasco Audax (SP)
1826,Quilmes Atlético Club
21957,AO Platanias
1326,Chongqing Lifan
713,BATE Borisov
12834,Córdoba CF B
455,Rapid Bucharest
1008,HJK Helsinki
9715,PSV Eindhoven U21
10010,Esporte Clube Bahia
2944,Osmanlispor FK
53,OFK Beograd
4785,FC Baniyas
1175,LB Châteauroux
12605,Real Balompédica Linense
45275,FC Pune City
14583,CD Atlético Huila
14456,Al-Dhafra SCC
10949,Sporting CP B
12567,CD Eldense
29733,SD Leioa
11590,Gernika Club
21568,La Roda CF
20572,El Gouna FC
254,SV Sandhausen
8718,Sport Club do Recife
36630,Hebei China Fortune
50186,CD Vitoria
1536,Burgos CF
2063,Club Atlético Huracán
7020,CD Everton
36100,Western Sydney Wanderers
13702,CF Rayo Majadahonda
16486,CF Fuenlabrada
13225,CF Reus Deportiu (-2020)
6536,CD Palestino
3010,CF Gavà
7052,CF Villanovense
21402,Zamudio SD
3691,Tom Tomsk
27818,Machine Sazi Tabriz
2402,Defensa y Justicia
25380,Deportivo Lara
1829,Instituto AC Córdoba
